scenario,filter_id,node_id,node_size,mean_introgressed_windows,mean_introgressed_fraction,mean_tract_count,mean_tract_length
one_pulse,4,cube4_cluster0,18,5769.611111111111,0.19232037037037036,66.05555555555556,87001.04222952569
one_pulse,4,cube5_cluster0,2,6011.0,0.20036666666666667,72.5,82160.11296791444
one_pulse,5,cube1_cluster0,16,5031.9375,0.16773125,58.25,85439.08469106173
one_pulse,5,cube2_cluster0,36,5167.583333333333,0.17225277777777778,60.666666666666664,84232.76263145327
one_pulse,5,cube3_cluster0,34,5176.705882352941,0.17255686274509804,64.0,79985.47282012376
one_pulse,5,cube4_cluster0,28,5330.75,0.17769166666666672,67.5,77993.6224986514
one_pulse,5,cube5_cluster0,18,5338.555555555556,0.17795185185185183,70.77777777777777,74486.85894644243
one_pulse,5,cube6_cluster0,7,5798.285714285715,0.19327619047619052,75.57142857142857,75678.20137227062
one_pulse,5,cube7_cluster0,3,6105.666666666667,0.20352222222222224,78.33333333333333,77202.57265779488
one_pulse,6,cube0_cluster0,7,4943.428571428572,0.1647809523809524,72.57142857142857,67204.8527597415
one_pulse,6,cube1_cluster0,22,4914.545454545455,0.16381818181818183,68.54545454545455,70726.9270111797
one_pulse,6,cube2_cluster0,30,5094.8,0.1698266666666667,66.83333333333333,75281.20428163887
one_pulse,6,cube3_cluster0,32,5282.625,0.1760875,65.5,79729.22155998758
one_pulse,6,cube4_cluster0,25,5359.48,0.17864933333333333,62.48,84808.70687042148
one_pulse,6,cube5_cluster0,14,5719.571428571428,0.19065238095238093,63.214285714285715,89547.82221100222
one_pulse,6,cube6_cluster0,10,5666.1,0.18887,59.6,94116.22406868529
one_pulse,6,cube7_cluster0,4,6007.5,0.20024999999999998,61.0,97635.2825013993
two_pulses,1,cube0_cluster0,12,2387.5833333333335,0.07958611111111112,31.583333333333332,74666.26873504517
two_pulses,1,cube1_cluster0,15,2359.5333333333333,0.07865111111111109,31.4,74472.67013555292
two_pulses,1,cube2_cluster0,18,2386.1111111111113,0.07953703703703703,33.44444444444444,70091.13194100364
two_pulses,1,cube3_cluster0,19,2230.9473684210525,0.07436491228070174,30.105263157894736,73795.80625161398
two_pulses,1,cube4_cluster0,19,2503.0526315789475,0.08343508771929825,30.894736842105264,81389.88882223761
two_pulses,1,cube5_cluster0,20,2354.2,0.07847333333333334,30.3,76955.45727828637
two_pulses,1,cube6_cluster0,19,2497.8947368421054,0.08326315789473684,31.894736842105264,77031.52245269693
two_pulses,1,cube7_cluster0,15,2188.2,0.07293999999999999,31.4,68539.4289841094
two_pulses,2,cube1_cluster0,7,2414.8571428571427,0.0804952380952381,32.857142857142854,73453.08048752908
two_pulses,2,cube2_cluster0,58,2444.4827586206898,0.08148275862068965,31.637931034482758,76635.19660663963
two_pulses,2,cube3_cluster0,73,2288.205479452055,0.07627351598173517,31.054794520547944,72834.81026362856
two_pulses,3,cube0_cluster0,6,2744.3333333333335,0.09147777777777777,34.0,80240.6593704893
two_pulses,3,cube1_cluster0,22,2693.2727272727275,0.08977575757575758,31.863636363636363,84677.326885092
two_pulses,3,cube2_cluster0,30,2526.9333333333334,0.08423111111111112,32.166666666666664,78231.97462457909
two_pulses,3,cube3_cluster0,27,2418.4444444444443,0.08061481481481482,31.74074074074074,75688.09111842142
two_pulses,3,cube4_cluster0,24,2214.5833333333335,0.07381944444444445,29.958333333333332,72657.62792805304
